Kode MK,Nama MK,sks,Wajib / Pilihan,Semester
CIF61233,Administrasi sistem server,3,Pilihan,Ganjil
MPK60001-5,Agama,2,Wajib,Ganjil
COM60004,Algoritma dan Struktur Data,3,Wajib,Ganjil
CIF62342,Algoritma Evolusi dan Kecerdasan Berkoloni,3,Pilihan,Genap
CIF62305,Aljabar Linear,2,Wajib,Genap
CIF63106,Analisis dan Perancangan Sistem,5,Wajib,Ganjil
CIF62344,Analitik Big Data,3,Pilihan,Genap
CIF61124,Arsitektur Berbasis Layanan,4,Pilihan,Ganjil
COM60011,Arsitektur dan Organisasi Komputer,2,Wajib,Ganjil
CIF62232,Arsitektur jaringan modern,3,Pilihan,Genap
MPK60007,Bahasa Indonesia,2,Wajib,Ganjil
UBU60004,Bahasa Inggris,2,Wajib,Genap
CIF62104,Basis Data,3,Wajib,Genap
CIF61346,Deep Learning,3,Pilihan,Ganjil
CIF64112,Desain dan Analisis Algoritma,2,Wajib,Genap
CIF60038,DevSecOps,4,Pilihan,Ganjil/Genap
CIF62122,Enterprise Application Integration,4,Pilihan,Genap
COM60052,Etika Profesi,2,Wajib,Genap
CIF61235,Forensik Digital,3,Pilihan,Ganjil
CIF63108,Interaksi Manusia dan Komputer,2,Wajib,Ganjil
CIF63207,Jaringan Komputer,5,Wajib,Ganjil
CIF61230,Jaringan komputer lanjut,3,Pilihan,Ganjil
CIF65217,Jaringan Nirkabel,3,Wajib,Ganjil
CIF65318,Jaringan Saraf Tiruan,3,Wajib,Ganjil
CIF62234,Jaringan Sensor Nirkabel,3,Pilihan,Genap
COM60025,Kalkulus,2,Wajib,Ganjil
CIF62237,Keamanan aplikasi berbasis web,4,Pilihan,Genap
CIF64213,Keamanan Informasi,5,Wajib,Genap
CIF61236,Keamanan Jaringan,3,Pilihan,Ganjil
CIF63110,Kecerdasan Artifisial,2,Wajib,Ganjil
CIF64311,Kecerdasan Artifisial Lanjut,5,Wajib,Genap
MPK60006,Kewarganegaraan,2,Wajib,Genap
UBU60003,Kewirausahaan,2,Wajib,Genap
CIF65116,Komputer Grafis,2,Wajib,Ganjil
CIF60048,Machine Learning Operations (MLOps),4,Pilihan,Ganjil/Genap
COM60015,Matematika Diskret,2,Wajib,Genap
CIF63309,Metode Numerik,3,Wajib,Ganjil
COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,Wajib,Ganjil
MPK60008,Pancasila,2,Wajib,Genap
CIF62340,Pemerolehan Informasi dan Penambangan Teks,4,Pilihan,Genap
CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,Wajib,Ganjil
COM60014,Pemrograman Dasar,5,Wajib,Ganjil
CIF61125,Pemrograman Gim,4,Pilihan,Ganjil
COM60024,Pemrograman Lanjut,5,Wajib,Genap
CIF62127,Pemrograman Sistem Interaktif,4,Pilihan,Genap
CIF61341,Pemrosesan Bahasa Alami,3,Pilihan,Ganjil
CIF61347,Penerapan Kecerdasan Artifisial,3,Pilihan,Ganjil
UBU60005,Pengabdian kepada Masyarakat (PkM),4,Wajib,Antara
CIF64114,Pengembangan Aplikasi Web,3,Wajib,Genap
COM60016,Pengenalan Keilmuan Komputer,2,Wajib,Ganjil
CIF61339,Pengolahan Citra Digital dan Visi Komputer,4,Pilihan,Ganjil
CIF62128,Pengujian Perangkat Lunak,3,Pilihan,Genap
CIF62120,Penjaminan Kualitas Perangkat Lunak,3,Pilihan,Genap
CIF62231,Penyediaan dan Automasi Layanan,3,Pilihan,Genap
CIF62123,Perancangan Pengalaman Pengguna,3,Pilihan,Genap
CIF61121,Pola Perancangan,3,Pilihan,Ganjil
UBU60002,Praktik Kerja Lapangan,4,Wajib,Genap
CIF61126,Realitas terkembang,3,Pilihan,Ganjil
CIF62345,Rekayasa Data dan Visualisasi,3,Pilihan,Genap
CIF61101,Rekayasa Perangkat Lunak,4,Wajib,Ganjil
CIF62343,Sistem Berbasis Pengetahuan,4,Pilihan,Genap
CIF62229,Sistem Komputasi Terdistribusi,3,Pilihan,Genap
CIF62203,Sistem Operasi,5,Wajib,Genap
CIF61302,Statistika dan Teori Peluang,2,Wajib,Ganjil
CIF65319,Statistika inferensi,2,Wajib,Ganjil
UBU60001,Tugas Akhir / Skripsi,4,Wajib,Genap
